product_id,protein_type,preparation,price_point,portion_size_g,shelf_life_days,launch_quarter,target_channel,competitive_products,trend_alignment,marketing_spend_gbp,has_sustainability_claim,has_origin_story,packaging_innovation,development_time_months,testing_iterations,consultant_involved,success,first_year_revenue_gbp,success_score
NPD_133,beef,ready-to-cook,mid-range,300,7,Q4,supermarket,13,0.083,3591,0,1,0,2,7,1,0,15756,0.473
NPD_134,pork,cooked,premium,300,7,Q1,food_service,3,0.719,25217,0,1,0,14,1,1,1,143188,1.0
NPD_135,pork,seasoned,premium,400,11,Q1,food_service,5,0.828,13763,0,0,0,11,6,1,1,117723,1.0
NPD_136,chicken,raw,mid-range,200,7,Q4,retail_butcher,14,0.254,13576,0,1,0,9,4,1,0,9901,0.302
NPD_137,mixed,raw,economy,300,6,Q2,retail_butcher,5,0.36,38396,0,0,0,15,4,1,1,90688,0.511
NPD_138,lamb,marinated,premium,300,4,Q4,food_service,13,0.865,10031,0,0,1,12,4,0,1,122697,0.753
NPD_139,mixed,raw,mid-range,300,5,Q2,retail_butcher,11,0.018,49454,1,1,0,10,4,1,0,21067,0.234
NPD_140,beef,raw,economy,200,3,Q4,food_service,13,0.598,12240,0,1,0,5,4,1,0,40527,0.428
NPD_141,chicken,raw,economy,500,19,Q4,food_service,2,0.268,30165,1,1,0,5,5,1,1,89974,0.929
NPD_142,chicken,ready-to-cook,mid-range,500,17,Q4,food_service,11,0.464,43856,0,0,0,6,3,1,1,131988,0.847
NPD_143,lamb,raw,economy,400,15,Q3,retail_butcher,1,0.272,12190,1,0,0,7,1,0,1,58852,0.617
NPD_144,mixed,marinated,mid-range,200,15,Q1,retail_butcher,13,0.611,31519,0,1,1,2,6,1,1,117140,0.776
NPD_145,pork,marinated,economy,250,13,Q2,direct,8,0.817,5912,1,0,0,8,7,1,1,70301,1.0
NPD_146,mixed,raw,economy,200,10,Q4,supermarket,7,0.908,43092,1,0,1,8,4,1,1,54786,0.674
NPD_147,lamb,raw,mid-range,400,20,Q1,food_service,11,0.55,30808,0,0,0,8,2,1,0,46163,0.397
NPD_148,lamb,raw,mid-range,200,9,Q4,food_service,5,0.121,12777,0,1,1,3,1,1,0,48369,0.306
NPD_149,beef,marinated,premium,200,8,Q4,food_service,10,0.43,36426,0,1,1,15,4,0,1,20351,0.883
NPD_150,lamb,ready-to-cook,economy,300,18,Q4,food_service,8,0.027,21384,0,1,0,8,4,0,1,12754,0.806
NPD_151,pork,raw,mid-range,300,13,Q1,food_service,4,0.531,12951,0,1,0,5,1,0,1,89494,0.502
NPD_152,pork,cooked,mid-range,300,16,Q2,direct,10,0.16,27417,0,0,0,11,5,1,0,3202,0.376
NPD_153,pork,marinated,premium,200,19,Q1,food_service,14,0.152,35704,0,0,0,6,1,1,1,138272,1.0
NPD_154,chicken,marinated,mid-range,500,19,Q1,food_service,11,0.235,1138,0,0,0,9,5,1,1,171695,0.631
NPD_155,pork,cooked,premium,200,7,Q3,food_service,11,0.853,36428,0,0,1,6,2,1,1,130801,1.0
NPD_156,beef,ready-to-cook,economy,200,11,Q2,food_service,5,0.149,38529,1,0,1,16,7,0,1,53694,0.846
NPD_157,chicken,marinated,mid-range,200,20,Q1,supermarket,13,0.456,22083,1,1,0,14,3,0,1,82844,0.903
NPD_158,chicken,raw,premium,300,7,Q1,direct,12,0.926,34905,0,1,1,7,2,0,0,6028,0.29
NPD_159,chicken,marinated,economy,200,17,Q3,direct,7,0.995,12590,0,0,0,6,1,0,1,85606,0.827
NPD_160,chicken,ready-to-cook,economy,200,4,Q2,food_service,3,0.407,2381,0,1,0,14,5,1,1,94202,0.829
NPD_161,beef,ready-to-cook,economy,400,4,Q2,supermarket,7,0.295,36323,1,0,0,9,6,0,1,62427,0.666
NPD_162,chicken,seasoned,economy,500,19,Q3,retail_butcher,13,0.454,25035,1,0,0,15,2,1,1,86153,0.678
NPD_163,lamb,seasoned,economy,250,14,Q3,food_service,1,0.134,46409,1,0,0,10,7,0,1,98047,0.845
NPD_164,lamb,ready-to-cook,mid-range,200,8,Q1,direct,12,0.931,38496,0,0,1,13,4,1,1,123074,0.72
NPD_165,mixed,marinated,premium,500,19,Q2,food_service,12,0.388,27586,1,1,0,6,5,1,1,85317,1.0
NPD_166,beef,ready-to-cook,premium,200,14,Q1,food_service,4,0.499,16206,0,0,0,3,6,1,1,61021,1.0
NPD_167,pork,ready-to-cook,mid-range,300,3,Q4,retail_butcher,12,0.036,21360,0,1,1,13,6,1,1,63350,0.809
NPD_168,beef,ready-to-cook,economy,300,15,Q1,supermarket,5,0.516,3100,1,0,1,3,6,1,1,105469,0.807
NPD_169,mixed,marinated,mid-range,200,6,Q2,retail_butcher,5,0.762,37982,1,1,0,11,4,0,1,96728,0.856
NPD_170,beef,raw,economy,200,9,Q4,retail_butcher,11,0.001,48658,1,1,1,4,1,1,1,104290,0.582
NPD_171,beef,marinated,economy,300,11,Q1,food_service,11,0.473,39011,0,0,1,10,7,1,1,78459,0.786
NPD_172,mixed,raw,mid-range,300,14,Q3,food_service,9,0.847,32226,0,0,1,9,4,0,0,37728,0.387
NPD_173,pork,cooked,economy,400,17,Q3,supermarket,1,0.69,17241,0,1,0,7,1,1,1,77172,0.693
NPD_174,pork,ready-to-cook,economy,250,16,Q2,food_service,14,0.044,38853,1,0,1,13,1,0,1,77178,0.778
NPD_175,pork,ready-to-cook,economy,400,5,Q4,direct,10,0.981,24544,0,0,1,8,7,0,1,93262,0.724
NPD_176,pork,ready-to-cook,mid-range,250,4,Q3,food_service,9,0.477,37191,0,0,0,2,3,1,1,104604,0.784
NPD_177,lamb,ready-to-cook,mid-range,400,12,Q3,retail_butcher,7,0.808,5967,1,1,0,6,3,0,1,81354,1.0
NPD_178,beef,marinated,mid-range,300,4,Q3,retail_butcher,8,0.761,21208,1,0,0,4,1,1,1,39607,0.948
NPD_179,mixed,marinated,mid-range,250,6,Q1,food_service,9,0.877,31099,0,1,0,10,5,0,1,83370,0.757
NPD_180,beef,cooked,mid-range,300,5,Q4,supermarket,2,0.144,15534,1,1,1,6,6,1,1,0,0.724
NPD_181,beef,seasoned,economy,300,18,Q3,food_service,13,0.071,32555,0,1,0,16,3,1,1,42010,0.759
NPD_182,chicken,ready-to-cook,economy,200,19,Q3,food_service,3,0.425,17964,0,1,0,14,1,0,1,48360,1.0
NPD_183,beef,marinated,economy,400,5,Q4,food_service,14,0.191,46899,0,1,1,6,5,1,1,38448,0.544
NPD_184,chicken,ready-to-cook,economy,300,17,Q2,retail_butcher,7,0.762,25885,0,1,0,16,2,1,1,56057,1.0
NPD_185,lamb,cooked,economy,200,19,Q4,direct,14,0.714,12156,0,1,1,4,4,1,0,17827,0.491
NPD_186,beef,raw,premium,250,9,Q1,supermarket,0,0.031,1680,0,0,0,5,5,1,1,171940,0.505
NPD_187,lamb,cooked,mid-range,300,17,Q4,supermarket,3,0.384,5946,1,0,1,2,6,1,1,58539,0.801
NPD_188,pork,ready-to-cook,mid-range,300,3,Q1,supermarket,5,0.118,49367,1,1,0,12,3,1,1,59802,0.743
NPD_189,beef,ready-to-cook,mid-range,500,10,Q3,food_service,6,0.572,25335,1,1,0,9,4,0,1,81603,0.974
NPD_190,beef,marinated,premium,500,16,Q1,food_service,10,0.356,17402,1,0,0,8,4,1,1,167902,1.0
NPD_191,beef,ready-to-cook,mid-range,500,20,Q3,retail_butcher,8,0.011,39556,1,0,0,13,6,1,1,44936,0.983
NPD_192,beef,seasoned,economy,300,12,Q2,retail_butcher,1,0.287,11825,1,0,0,12,5,1,1,51753,0.803
NPD_193,lamb,seasoned,economy,250,4,Q2,direct,14,0.564,13360,1,1,0,5,3,1,0,23321,0.448
NPD_194,lamb,ready-to-cook,mid-range,400,3,Q1,food_service,6,0.253,1082,1,0,1,11,6,1,1,85067,0.679
NPD_195,chicken,cooked,mid-range,400,11,Q3,food_service,7,0.229,5138,1,0,1,9,7,0,1,109877,0.624
NPD_196,beef,marinated,economy,500,13,Q4,direct,10,0.459,28586,0,1,0,15,7,1,1,85216,0.841
NPD_197,mixed,seasoned,economy,250,8,Q1,food_service,10,0.521,34458,1,0,0,12,1,0,0,36351,0.468
NPD_198,chicken,seasoned,premium,400,20,Q4,food_service,14,0.064,25417,0,1,0,14,4,1,1,6920,0.713
NPD_199,beef,marinated,economy,300,16,Q2,retail_butcher,0,0.924,14652,0,0,0,6,2,1,1,99109,1.0
NPD_200,beef,marinated,mid-range,400,12,Q3,food_service,12,0.354,15387,1,1,0,8,5,0,1,12324,0.816
NPD_201,mixed,ready-to-cook,economy,200,8,Q3,supermarket,6,0.194,28253,1,1,0,17,3,1,1,42160,0.57
NPD_202,chicken,marinated,mid-range,500,19,Q3,food_service,1,0.532,15955,0,0,0,2,6,0,1,104873,0.915
NPD_203,pork,raw,economy,200,12,Q4,food_service,6,0.058,48861,0,0,1,9,3,1,0,0,0.368
NPD_204,pork,ready-to-cook,mid-range,200,20,Q2,retail_butcher,5,0.575,5188,0,0,0,17,5,0,1,61787,0.848
NPD_205,beef,marinated,premium,250,19,Q3,retail_butcher,0,0.611,40082,0,0,0,6,3,1,1,212172,1.0
NPD_206,chicken,ready-to-cook,premium,300,14,Q3,food_service,6,0.451,5434,1,0,0,12,5,1,1,93020,1.0
NPD_207,beef,seasoned,economy,400,17,Q4,retail_butcher,0,0.074,48937,0,1,0,14,3,0,1,69378,0.634
NPD_208,chicken,seasoned,mid-range,400,13,Q2,food_service,10,0.379,34665,1,0,0,13,2,1,1,92869,0.571
NPD_209,chicken,seasoned,mid-range,500,9,Q4,retail_butcher,0,0.015,25255,1,0,0,16,4,0,1,65868,0.596
NPD_210,lamb,marinated,mid-range,250,7,Q1,retail_butcher,9,0.307,37284,1,0,0,12,1,0,1,40805,0.604
NPD_211,mixed,seasoned,economy,200,4,Q2,food_service,9,0.451,8485,1,0,0,16,3,1,0,33260,0.349
NPD_212,beef,raw,mid-range,500,6,Q3,food_service,6,0.777,34998,1,1,0,5,2,1,1,21308,0.64
NPD_213,beef,marinated,economy,500,5,Q3,retail_butcher,7,0.858,21143,0,1,1,9,7,1,1,90049,0.89
NPD_214,lamb,raw,economy,400,14,Q3,direct,10,0.807,28081,0,0,0,17,5,0,0,33192,0.33
NPD_215,beef,raw,mid-range,250,19,Q4,food_service,6,0.837,18642,0,1,0,14,2,0,1,68905,0.686
NPD_216,chicken,ready-to-cook,economy,200,18,Q3,supermarket,10,0.929,7838,1,1,0,6,4,1,1,103489,0.902
NPD_217,mixed,seasoned,premium,500,20,Q3,retail_butcher,1,0.11,26515,0,1,0,10,6,0,1,75923,0.79
NPD_218,lamb,raw,mid-range,250,17,Q1,supermarket,13,0.061,5529,1,1,0,13,6,1,0,35765,0.413
NPD_219,mixed,ready-to-cook,mid-range,200,8,Q2,direct,9,0.741,23439,0,1,0,11,6,1,1,112274,0.62
NPD_220,lamb,seasoned,mid-range,300,17,Q4,food_service,4,0.8,4327,1,1,0,11,1,1,1,105915,0.907
NPD_221,chicken,raw,mid-range,500,14,Q1,retail_butcher,9,0.938,23418,0,1,0,11,2,1,1,63014,0.577
